Tag Code,Mark File Name,Site Name,First Time Value,Last Time Value,First Antenna Group Name,Last Antenna Group Name,Release Date MMDDYYYY,Species Code,Species Name,Run Code,Run Name,Rear Type Code,Rear Type Name,Release Site Name,Mark Date MMDDYYYY,Mark Site Name,Mark Site Code Value,Mark Year YYYY,Site Code Value,SRR Code,SRR Name,Count
3D9.1BF1794E1B,DTV03052.M12,HYC - Hayden Creek In-stream Array,5/31/2017 13:05,5/31/2017 13:05,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,4/7/2003,3,Steelhead,2,Summer,H,Hatchery Reared,LEMHIR - Lemhi River,2/21/2003,MAVA - Magic Valley Hatchery,MAVA,2003,HYC,32H,Hat. Summer Steelhead,1
3DA.1A19AF64E0,BDL14308.H23,LLR - Lower Lemhi River,6/4/2017 19:00,6/4/2017 19:22,UPSTREAM ARRAY,DOWNSTREAM ARRAY,4/6/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/4/2014,HAGE - Hagerman NFH,HAGE,2014,LLR,32H,Hat. Summer Steelhead,1
3DD.003C0302CC,CPN-2017-245-001.XML,LLR - Lower Lemhi River,4/25/2018 16:25,5/3/2018 15:26,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,9/2/2017,3,Steelhead,4,Winter,H,Hatchery Reared,"COLR2 - Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",9/2/2017,"COLR2 - Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",COLR2,2017,LLR,34H,Hat. Winter Steelhead,1
3DD.00773C0690,BDL14028.V49,LLR - Lower Lemhi River,4/4/2017 17:58,4/4/2017 18:00,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/22/2014,3,Steelhead,2,Summer,H,Hatchery Reared,PAHTRP - Pahsimeroi River Trap,1/28/2014,MAVA - Magic Valley Hatchery,MAVA,2014,LLR,32H,Hat. Summer Steelhead,1
3DD.007744284B,BDL14029.V61,BHC - Bohannon Creek Lemhi R Basin,3/16/2017 8:07,3/23/2017 6:22,Downstream Array,Downstream Array,4/9/2014,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/29/2014,MAVA - Magic Valley Hatchery,MAVA,2014,BHC,32H,Hat. Summer Steelhead,1
3DD.007744284B,BDL14029.V61,LLR - Lower Lemhi River,3/14/2017 1:42,3/14/2017 1:43,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/9/2014,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/29/2014,MAVA - Magic Valley Hatchery,MAVA,2014,LLR,32H,Hat. Summer Steelhead,1
3DD.0077443568,BDL14028.V22,LLR - Lower Lemhi River,3/27/2017 4:03,4/21/2017 20:51,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/30/2014,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,1/28/2014,MAVA - Magic Valley Hatchery,MAVA,2014,LLR,32H,Hat. Summer Steelhead,1
3DD.0077490002,CSM14142.GS9,"LCL - Lee Creek, Lemhi R. Basin",9/6/2017 23:23,9/11/2017 17:04,Upstream Antenna,Downstream Antenna,5/23/2014,3,Steelhead,5,Unknown,H,Hatchery Reared,LGRGWL - LGR - Release into Gatewell(s),5/22/2014,LGR - Lower Granite Dam,LGR,2014,LCL,35H,Hat. Steelhead (unknown run),1
3DD.007749A0E2,DMM15161.TP2,"LCL - Lee Creek, Lemhi R. Basin",8/31/2017 11:13,9/10/2017 8:11,Upstream Antenna,Upstream Antenna,6/11/2015,3,Steelhead,2,Summer,H,Hatchery Reared,LGRRBR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility,6/10/2015,LGR - Lower Granite Dam,LGR,2015,LCL,32H,Hat. Summer Steelhead,1
3DD.007759094D,CBB15022.ONS,"LCL - Lee Creek, Lemhi R. Basin",12/6/2017 22:58,12/6/2017 22:58,Downstream Antenna,Downstream Antenna,4/22/2015,3,Steelhead,2,Summer,H,Hatchery Reared,"DWORMS - Dworshak NFH, release into mainstem Clearwater River",1/22/2015,DWOR - Dworshak National Fish Hatchery,DWOR,2015,LCL,32H,Hat. Summer Steelhead,1
3DD.00775D5236,JSW16281.LGD,LLR - Lower Lemhi River,3/21/2017 19:06,3/21/2017 19:09,DOWNSTREAM ARRAY,UPSTREAM ARRAY,10/7/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/7/2016,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00775D7761,JSW16301.LGD,BHC - Bohannon Creek Lemhi R Basin,3/25/2017 11:25,3/26/2017 11:23,Downstream Array,Downstream Array,10/27/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/27/2016,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2016,BHC,32H,Hat. Summer Steelhead,1
3DD.00775D7761,JSW16301.LGD,LLR - Lower Lemhi River,3/20/2017 22:15,3/20/2017 22:17,DOWNSTREAM ARRAY,UPSTREAM ARRAY,10/27/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/27/2016,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00775D93CF,JSW16259.LGD,LLR - Lower Lemhi River,3/17/2017 23:28,3/17/2017 23:28,UPSTREAM ARRAY,UPSTREAM ARRAY,9/15/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/15/2016,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00775E1022,JSW16273.LGD,LLR - Lower Lemhi River,4/4/2017 17:38,4/5/2017 12:46,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,9/29/2016,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/29/2016,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077728676,BDL16026.V26,LLR - Lower Lemhi River,4/8/2018 17:30,4/9/2018 5:30,UPSTREAM ARRAY,DOWNSTREAM ARRAY,4/26/2016,3,Steelhead,2,Summer,H,Hatchery Reared,PAHTRP - Pahsimeroi River Trap,1/26/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00777434CB,BDL16027.V61,LLR - Lower Lemhi River,3/24/2018 13:20,3/24/2018 13:22,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077746A82,BDL16027.V20,BHC - Bohannon Creek Lemhi R Basin,4/22/2018 15:57,4/22/2018 15:57,Upstream Array,Upstream Array,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,BHC,32H,Hat. Summer Steelhead,1
3DD.0077746A82,BDL16027.V20,LLR - Lower Lemhi River,3/30/2018 16:12,3/30/2018 16:15,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077746A82,BDL16027.V20,S2I - Lemhi Sub-reach 2 SC Inlet,5/2/2018 18:28,5/2/2018 18:49,Single Antenna,Single Antenna,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,S2I,32H,Hat. Summer Steelhead,1
3DD.0077746A82,BDL16027.V20,S2O - Lemhi Sub-reach 2 SC Outlet,5/3/2018 4:10,5/3/2018 4:11,Single Antenna,Single Antenna,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,S2O,32H,Hat. Summer Steelhead,1
3DD.007774856E,BDL16027.V30,LLR - Lower Lemhi River,3/24/2018 1:21,5/4/2018 22:11,UPSTREAM ARRAY,DOWNSTREAM ARRAY,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007774856E,BDL16027.V30,"WPC - Wimpey Creek, Lemhi R. Basin",4/5/2018 1:34,4/7/2018 21:49,Downstream Antenna,Downstream Antenna,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,WPC,32H,Hat. Summer Steelhead,1
3DD.007774AAAE,BDL16027.V40,LLR - Lower Lemhi River,4/1/2018 15:54,4/1/2018 15:54,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/12/2016,3,Steelhead,2,Summer,H,Hatchery Reared,SALR3 - Salmon River - Middle Fork Salmon River to Pahsimeroi River (km 319-489),1/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007776AD10,IPC16316.N43,LLR - Lower Lemhi River,4/12/2017 15:13,4/12/2017 15:15,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/3/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007776ADA8,IPC16316.N42,LLR - Lower Lemhi River,4/7/2017 3:55,4/8/2017 10:15,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007776F33F,IPC16316.N42,LLR - Lower Lemhi River,4/7/2017 18:58,4/8/2017 7:42,DOWNSTREAM ARRAY,UPSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077770DF3,IPC16316.N42,LLR - Lower Lemhi River,4/12/2017 15:41,4/13/2017 16:37,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00777799DF,IPC16028.N31,LLR - Lower Lemhi River,4/9/2018 13:52,4/15/2018 4:20,UPSTREAM ARRAY,UPSTREAM ARRAY,4/7/2016,3,Steelhead,2,Summer,H,Hatchery Reared,PAHTRP - Pahsimeroi River Trap,1/28/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007784F6D2,IPC16316.N12,LLR - Lower Lemhi River,4/17/2017 6:00,5/22/2017 19:15,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00778513E6,IPC16316.N11,LLR - Lower Lemhi River,4/12/2017 18:15,4/12/2017 19:05,DOWNSTREAM ARRAY,UPSTREAM ARRAY,3/27/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00778546CA,BDL16304.H39,LLR - Lower Lemhi River,5/4/2017 15:30,5/4/2017 15:37,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/12/2017,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,10/30/2016,HAGE - Hagerman NFH,HAGE,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077855788,IPC16316.N11,LLR - Lower Lemhi River,4/3/2017 2:45,4/3/2017 2:47,UPSTREAM ARRAY,UPSTREAM ARRAY,3/27/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007785733D,IPC16316.N33,LLR - Lower Lemhi River,5/5/2017 14:18,5/13/2017 10:08,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,4/3/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007785EC17,IPC16316.N12,LLR - Lower Lemhi River,4/15/2017 9:40,4/16/2017 18:33,DOWNSTREAM ARRAY,UPSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077861D10,IPC16316.N32,LLR - Lower Lemhi River,4/12/2017 18:12,4/12/2017 18:17,DOWNSTREAM ARRAY,UPSTREAM ARRAY,3/29/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/11/2016,NISP - Niagara Springs Hatchery,NISP,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.007791C1F1,NBD16183.PRD,LLR - Lower Lemhi River,5/12/2017 14:09,5/12/2017 14:11,DOWNSTREAM ARRAY,UPSTREAM ARRAY,9/20/2016,3,Steelhead,2,Summer,H,Hatchery Reared,PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder,7/1/2016,PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder,PRDLD1,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077940005,BDL16304.H14,"LCL - Lee Creek, Lemhi R. Basin",8/26/2017 23:06,8/26/2017 23:06,Downstream Antenna,Downstream Antenna,4/18/2017,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,10/30/2016,HAGE - Hagerman NFH,HAGE,2016,LCL,32H,Hat. Summer Steelhead,1
3DD.00779681BE,BDL16301.V38,LLR - Lower Lemhi River,5/6/2017 12:02,5/7/2017 7:19,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,4/3/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00779716E2,BDL16301.V28,LLR - Lower Lemhi River,4/10/2017 11:19,4/10/2017 11:27,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/3/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/27/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00779740CF,BDL16302.V23,LLR - Lower Lemhi River,5/1/2017 3:20,5/1/2017 4:26,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/25/2017,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,10/28/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.00779968CF,BDL16302.V38,LLR - Lower Lemhi River,4/26/2017 5:52,5/6/2017 16:22,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/18/2017,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/28/2016,MAVA - Magic Valley Hatchery,MAVA,2016,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A53BFE,BDL-2017-311-H23.XML,LLR - Lower Lemhi River,4/25/2018 11:46,4/25/2018 11:47,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/2/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A5A295,BDL-2017-312-H46.XML,LLR - Lower Lemhi River,4/29/2018 10:28,4/29/2018 10:35,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/6/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/8/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A5C735,BDL-2017-304-V45.XML,LLR - Lower Lemhi River,4/19/2018 15:18,4/19/2018 15:18,UPSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/31/2017,MAVA - Magic Valley Hatchery,MAVA,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A61936,BDL-2017-312-H44.XML,LLR - Lower Lemhi River,4/21/2018 10:42,4/21/2018 11:06,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/8/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A65061,BDL-2017-311-H33.XML,LLR - Lower Lemhi River,4/20/2018 16:07,4/20/2018 16:09,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/2/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A6B32D,BDL-2017-312-H14.XML,LLR - Lower Lemhi River,4/23/2018 12:55,4/23/2018 13:00,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/8/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077A6F943,BDL-2017-311-H41.XML,LLR - Lower Lemhi River,5/4/2018 17:12,5/4/2018 17:15,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/3/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077ACD77B,IPC-2017-306-N22.XML,LLR - Lower Lemhi River,5/2/2018 16:56,5/2/2018 17:47,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/6/2018,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/2/2017,NISP - Niagara Springs Hatchery,NISP,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077ADD6F7,JSW-2017-254-001.XML,BHC - Bohannon Creek Lemhi R Basin,6/5/2018 0:46,6/11/2018 8:04,Downstream Antenna,Downstream Antenna,9/11/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/11/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,BHC,32H,Hat. Summer Steelhead,1
3DD.0077ADD6F7,JSW-2017-254-001.XML,LLR - Lower Lemhi River,5/30/2018 10:10,5/30/2018 10:10,UPSTREAM ARRAY,UPSTREAM ARRAY,9/11/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/11/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077AE031D,JSW-2017-281-001.XML,LLR - Lower Lemhi River,4/6/2018 21:28,4/6/2018 21:29,DOWNSTREAM ARRAY,UPSTREAM ARRAY,10/8/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/8/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077AE934A,BDL-2017-304-V45.XML,LLR - Lower Lemhi River,4/18/2018 13:43,4/18/2018 13:45,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/31/2017,MAVA - Magic Valley Hatchery,MAVA,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B3D567,BDL-2018-317-H25.XML,LLR - Lower Lemhi River,4/25/2019 15:16,5/30/2019 20:26,UPSTREAM ARRAY,UPSTREAM ARRAY,4/2/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/13/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B3F98F,BDL-2018-316-H12.XML,LLR - Lower Lemhi River,4/21/2019 13:34,4/21/2019 13:35,UPSTREAM ARRAY,UPSTREAM ARRAY,4/1/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/12/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B410A4,BDL-2018-318-H12.XML,LLR - Lower Lemhi River,4/29/2019 11:42,4/29/2019 11:50,UPSTREAM ARRAY,UPSTREAM ARRAY,4/22/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SALEFT - East Fork Salmon River Trap,11/14/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B426A6,BDL-2018-316-H43.XML,LLR - Lower Lemhi River,4/11/2019 14:34,4/11/2019 14:34,UPSTREAM ARRAY,UPSTREAM ARRAY,4/1/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/12/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B4E02E,BDL-2018-318-H44.XML,LLR - Lower Lemhi River,4/26/2019 13:31,4/26/2019 13:31,UPSTREAM ARRAY,UPSTREAM ARRAY,4/15/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/14/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B8DE71,JSW-2017-259-001.XML,LLR - Lower Lemhi River,4/10/2018 0:54,4/10/2018 0:55,DOWNSTREAM ARRAY,UPSTREAM ARRAY,9/16/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,9/16/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077B8E73E,JSW-2017-289-001.XML,LLR - Lower Lemhi River,4/7/2018 14:20,4/8/2018 4:40,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,10/16/2017,3,Steelhead,2,Summer,H,Hatchery Reared,LGRLDR - LGR - Release into the Adult Fish Ladder,10/16/2017,LGRLDR - LGR - Release into the Adult Fish Ladder,LGRLDR,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077BC5FFF,BDL-2017-304-V45.XML,LLR - Lower Lemhi River,4/20/2018 0:27,4/20/2018 0:27,UPSTREAM ARRAY,UPSTREAM ARRAY,4/4/2018,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,10/31/2017,MAVA - Magic Valley Hatchery,MAVA,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077CCA149,BDL-2018-316-H22.XML,LLR - Lower Lemhi River,4/30/2019 13:29,6/7/2019 10:03,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/1/2019,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/12/2018,HAGE - Hagerman NFH,HAGE,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D3F26A,BDL-2018-313-V45.XML,LLR - Lower Lemhi River,5/4/2019 23:57,5/5/2019 0:00,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/9/2019,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,11/9/2018,MAVA - Magic Valley Hatchery,MAVA,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D437DE,BDL-2018-313-V37.XML,LLR - Lower Lemhi River,5/7/2019 10:24,5/7/2019 10:27,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/5/2019,3,Steelhead,2,Summer,H,Hatchery Reared,YANKFK - Yankee Fork Salmon River,11/9/2018,MAVA - Magic Valley Hatchery,MAVA,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077D986E4,IPC-2018-314-N11.XML,LLR - Lower Lemhi River,4/15/2019 17:00,5/27/2019 0:45,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/2/2019,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/10/2018,NISP - Niagara Springs Hatchery,NISP,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077DA493B,IPC-2018-314-N41.XML,LLR - Lower Lemhi River,5/5/2019 2:38,5/5/2019 2:38,DOWNSTREAM ARRAY,DOWNSTREAM ARRAY,4/2/2019,3,Steelhead,2,Summer,H,Hatchery Reared,PAHSIW - Pahsimeroi Weir,11/10/2018,NISP - Niagara Springs Hatchery,NISP,2018,LLR,32H,Hat. Summer Steelhead,1
3DD.0077E3B637,BDL-2017-311-H34.XML,LLR - Lower Lemhi River,4/27/2018 19:24,5/11/2018 16:53,UPSTREAM ARRAY,UPSTREAM ARRAY,4/11/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
3DD.0077E40781,BDL-2017-311-H24.XML,LLR - Lower Lemhi River,5/2/2018 13:09,5/2/2018 13:11,DOWNSTREAM ARRAY,UPSTREAM ARRAY,4/11/2018,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,11/7/2017,HAGE - Hagerman NFH,HAGE,2017,LLR,32H,Hat. Summer Steelhead,1
